crime_id,crime_type,criminal_id,neighbourhood_id
105,Drive While Impaired / Over 80,30990,27
106,Assaults,29488,137
107,Total Arrests,11535,15
108,Total Arrests,29128,90
109,Other,7630,42
110,Other,28375,124
111,Drive While Impaired / Over 80,25852,63
112,Total Arrests,1017,96
113,Drive While Impaired / Over 80,24254,52
114,Other,22824,96
115,Robbery,24277,132
116,Other,23248,29
117,Total Arrests,24301,36
118,Other,8530,13
119,Drive While Impaired / Over 80,17263,71
120,Other,9269,86
121,Theft Under $5000,21272,28
122,Other,12186,66
123,Other,30937,45
124,Total Arrests,21244,62
125,Theft Under $5000,6332,134
126,Assaults,8572,28
127,Other,25069,28
128,Total Arrests,7209,108
129,Assaults,5277,44
130,Theft Under $5000,18447,84
131,Total Arrests,28461,30
132,Other,16449,75
133,Other,16217,128
134,Other,8007,92
135,Other,2569,129
136,Break and Enter,21848,121
137,Assaults,29825,27
138,Other,2028,121
139,Other,2696,116
140,Theft Under $5000,26072,3
141,Total Arrests,15423,103
142,Robbery,5259,137
143,Other,22003,62
144,Theft Under $5000,6737,51
145,Total Arrests,392,59
146,Other,13987,118
147,Other,29091,96
148,Total Arrests,31009,113
149,Other,12667,62
150,Total Arrests,5893,52
151,Other,3562,12
152,Total Arrests,26855,39
153,Break and Enter,31738,130
154,Fraud,6185,131
155,Other,19484,113
156,Other,22663,101
157,Theft Under $5000,8393,113
158,Other,30536,81
159,Assaults,13068,113
160,Other Criminal Violations - Offensive Weapons,15266,2
161,Other,19489,130
162,Drive While Impaired / Over 80,23600,54
163,Other,29175,87
164,Assaults,2455,129
165,Dangerous Driving,11838,126
166,Other,14040,130
167,Theft Over $5000,25381,53
168,Theft Under $5000,30819,68
169,Other,19116,123
170,Total Arrests,30568,38
171,Other,10966,24
172,Other,24539,69
173,Fraud,9763,116
174,Other Criminal Violations - Offensive Weapons,5057,98
175,Break and Enter,14949,139
176,Total Arrests,8111,97
177,Other,13774,124
178,Theft Under $5000,27267,70
179,Assaults,20225,93
180,Total Arrests,17413,3
181,Assaults,23770,90
182,Other,503,96
183,Theft Under $5000,6911,52
184,Other,12686,128
185,Other,25447,39
186,Total Arrests,23323,82
187,Theft Under $5000,20873,104
188,Assaults,207,129
189,Other,21519,11
190,Fraud,22362,42
191,Total Arrests,24106,99
192,Other,23420,7
193,Other Criminal Violations - Offensive Weapons,17869,90
194,Assaults,24243,112
195,Theft Under $5000,15935,60
196,Assaults,17248,113
197,Total Arrests,19175,2
198,Other,23793,129
199,Assaults,8756,48
200,Total Arrests,21501,140
201,Break and Enter,12384,37
202,Total Arrests,22404,9
203,Other,18142,99
204,Theft Under $5000,14821,48
205,Other,7575,131
206,Other,6375,54
207,Assaults,23277,120
208,Sexual Violations,1679,116
209,Total Arrests,19627,75
210,Attempted Murder,21021,113
211,Total Arrests,1060,104
212,Other,23053,84
213,Theft Under $5000,29856,112
214,Other,16199,99
215,Other,9915,93
216,Other,27891,128
217,Assaults,19542,110
218,Other Criminal Violations - Offensive Weapons,22300,82
219,Assaults,10818,54
220,Break and Enter,10922,68
221,Total Arrests,31277,33
222,Other Criminal Violations - Offensive Weapons,9790,21
223,Robbery,16313,48
224,Total Arrests,11253,128
225,Total Arrests,2694,136
226,Other,29468,135
227,Drive While Impaired / Over 80,29724,128
228,Other,13932,33
229,Theft Under $5000,3628,115
230,Other,25940,119
231,Total Arrests,16158,22
232,Firearm-Related,10174,38
233,Other,21835,109
234,Assaults,18048,51
235,Other,26106,8
236,Firearm-Related,10231,27
237,Other,15708,27
238,Total Arrests,21977,21
239,Other,11495,30
240,Other,26814,97
241,Refuse Sample,23777,28
242,Other,30081,111
243,Assaults,30073,61
244,Drive While Impaired / Over 80,1307,48
245,Total Arrests,28606,4
246,Break and Enter,6777,35
247,Assaults,27252,49
248,Other,29645,17
249,Total Arrests,22249,46
250,Other,9475,117
251,Break and Enter,7527,6
252,Other,25286,99
253,Theft Under $5000,21960,124
254,Fraud,5531,37
255,Assaults,29321,24
256,Theft Under $5000,20798,93
257,Drive While Impaired / Over 80,3749,46
258,Other,31969,95
259,Total Arrests,13546,99
260,Other,29356,116
261,Total Arrests,664,67
262,Assaults,1999,128
263,Other,7995,18
264,Total Arrests,28022,25
265,Assaults,28320,54
266,Other,30304,58
267,Drive While Disqualified,17880,67
268,Total Arrests,3305,104
269,Theft Under $5000,20148,24
270,Other,21617,114
271,Other,18238,32
272,Total Arrests,13809,86
273,Assaults,6586,127
274,Other,29236,130
275,Total Arrests,17676,17
276,Other,19966,104
277,Assaults,11650,137
278,Total Arrests,23939,43
279,Other,23665,39
280,Total Arrests,1637,26
281,Drive While Impaired / Over 80,20081,99
282,Total Arrests,27576,50
283,Robbery,27729,13
284,Other,17083,60
285,Assaults,26737,135
286,Other,28674,57
287,Other,4738,36
288,Dangerous Driving,14556,20
289,Other,13878,65
290,Other,855,8
291,Other Criminal Violations - Offensive Weapons,24549,115
292,Total Arrests,5856,92
293,Other,7393,98
294,Other,22913,66
295,Dangerous Driving,28051,32
296,Other Criminal Violations - Offensive Weapons,13950,86
297,Break and Enter,21634,51
298,Theft Under $5000,21557,63
299,Assaults,18092,125
300,Other,27354,58
301,Other,5792,58
302,Theft Under $5000,26310,86
303,Robbery,21920,49
304,Break and Enter,30967,70
305,Other,4932,15
306,Assaults,19895,54
307,Other Criminal Violations - Offensive Weapons,203,101
308,Other,11448,8
309,Other Criminal Violations - Offensive Weapons,20603,53
310,Theft Under $5000,12689,60
311,Other,25343,108
312,Other,4390,5
313,Other,2328,103
314,Assaults,8005,6
315,Total Arrests,19316,109
316,Sexual Violations,7778,116
317,Break and Enter,198,94
318,Other,23510,47
319,Assaults,1931,99
320,Break and Enter,11775,55
321,Total Arrests,15088,52
322,Robbery,22672,13
323,Sexual Violations,25185,114
324,Other,27849,124
325,Theft Under $5000,9340,106
326,Other,20667,120
327,Other,11590,63
328,Other,18896,19
329,Firearm-Related,15709,92
330,Theft Under $5000,26371,58
331,Dangerous Driving,17044,90
332,Other Criminal Violations - Offensive Weapons,2812,117
333,Robbery,23483,62
334,Other,14244,23
335,Sexual Violations,6547,127
336,Other,25946,137
337,Other,1987,140
338,Assaults,30207,129
339,Other,8339,58
340,Other,11412,122
341,Total Arrests,2912,1
342,Break and Enter,1735,34
343,Other,18228,96
344,Theft Under $5000,8681,126
345,Drive While Impaired / Over 80,19361,118
346,Other,18344,48
347,Sexual Violations,5760,89
348,Other,23079,117
349,Assaults,2386,129
350,Other,11112,16
351,Assaults,4737,69
352,Total Arrests,1803,22
353,Theft Under $5000,8156,93
354,Total Arrests,8121,76
355,Other,6617,86
356,Other,14258,29
357,Assaults,14487,69
358,Other,21919,47
359,Total Arrests,20446,94
360,Fraud,27946,85
361,Theft Under $5000,30307,39
362,Other,16647,100
363,Theft Under $5000,14076,33
364,Other,22672,101
365,Other,31066,23
366,Total Arrests,25200,10
367,Assaults,9209,69
368,Other Criminal Violations - Offensive Weapons,16372,100
369,Fraud,11836,34
370,Other,13169,138
371,Fraud,2050,96
372,Assaults,31617,1
373,Other,5424,69
374,Other,14590,4
375,Total Arrests,28300,16
376,Theft Under $5000,20933,24
377,Other,19493,80
378,Theft Under $5000,29856,2
379,Total Arrests,28667,128
380,Assaults,7159,84
381,Other,10249,140
382,Other,7401,124
383,Other,19555,33
384,Theft Under $5000,9875,101
385,Total Arrests,15152,12
386,Other,18640,67
387,Other,1155,65
388,Theft Under $5000,4500,74
389,Total Arrests,6296,43
390,Assaults,22582,44
391,Theft Under $5000,27768,29
392,Total Arrests,26273,12
393,Assaults,12184,95
394,Robbery,29300,46
395,Other,12875,130
396,Sexual Violations,18033,35
397,Total Arrests,5540,81
398,Theft Under $5000,9638,90
399,Other,20584,8
400,Other Criminal Violations - Offensive Weapons,28500,93
401,Theft Under $5000,24830,90
402,Fraud,15587,115
403,Other,27760,105
404,Theft Under $5000,2558,135
405,Total Arrests,5593,58
406,Assaults,16483,114
407,Other,2201,75
408,Drive While Disqualified,14173,120
409,Total Arrests,2962,21
410,Theft Under $5000,14208,138
411,Other,21358,101
412,Total Arrests,20818,99
413,Other,11970,36
414,Dangerous Driving,2870,96
415,Other,27811,37
416,Assaults,28368,12
417,Other Criminal Violations - Offensive Weapons,17341,113
418,Other,13993,13
419,Total Arrests,28644,23
420,Other,24737,99
421,Other,5700,105
422,Total Arrests,23329,30
423,Other,20878,17
424,Other,25877,113
425,Assaults,21296,62
426,Total Arrests,3988,84
427,Break and Enter,26104,112
428,Assaults,22400,86
429,Other,30088,19
430,Break and Enter,13447,100
431,Total Arrests,1219,140
432,Total Arrests,20881,76
433,Theft Over $5000,4736,9
434,Other,11297,28
435,Other,27312,128
436,Total Arrests,4556,52
437,Other Criminal Violations - Offensive Weapons,9147,83
438,Other,8051,111
439,Drive While Impaired / Over 80,12758,117
440,Other,19831,69
441,Other,17430,99
442,Sexual Violations,6894,140
443,Other,18078,25
444,Other Criminal Violations - Offensive Weapons,14374,123
445,Other,14566,53
446,Break and Enter,3437,57
447,Total Arrests,8755,39
448,Fraud,10678,109
449,Firearm-Related,5896,42
450,Refuse Sample,19739,122
451,Robbery,30747,133
452,Other,16610,75
453,Robbery,15637,76
454,Other Criminal Violations - Offensive Weapons,21278,9
455,Other,31004,74
456,Assaults,7023,7
457,Fraud,9152,137
458,Other,5601,27
459,Other,29125,122
460,Break and Enter,27644,5
461,Theft Under $5000,7997,29
462,Other,9008,83
463,Total Arrests,12947,136
464,Sexual Violations,24068,109
465,Total Arrests,4643,65
466,Other,29888,86
467,Other,11313,71
468,Theft Under $5000,7680,45
469,Break and Enter,8209,132
470,Fraud,23724,36
471,Robbery,25820,70
472,Other,18590,19
473,Other Criminal Violations - Offensive Weapons,10717,108
474,Assaults,17454,91
475,Dangerous Driving,3445,90
476,Other,10758,19
477,Other,14435,39
478,Theft Under $5000,30441,126
479,Fraud,1061,126
480,Break and Enter,18712,58
481,Theft Over $5000,3421,61
482,Other,31217,127
483,Sexual Violations,302,105
484,Other,12469,1
485,Total Arrests,16991,131
486,Other,19555,92
487,Assaults,700,113
488,Other,21473,56
489,Other,25716,117
490,Total Arrests,191,134
491,Robbery,10493,58
492,Assaults,17365,44
493,Other,2976,61
494,Total Arrests,6103,47
495,Other,17569,80
496,Other Criminal Violations - Offensive Weapons,19712,118
497,Theft Under $5000,19779,20
498,Assaults,24704,47
499,Total Arrests,26642,49
500,Theft Under $5000,1817,14
501,Assaults,22239,1
502,Other,23094,117
503,Robbery,570,54
504,Total Arrests,5443,118
505,Other,1896,3
506,Theft Under $5000,19118,12
507,Break and Enter,3864,74
508,Other,12914,16
509,Assaults,7456,102
510,Total Arrests,4015,117
511,Other,11094,8
512,Fraud,18071,122
513,Sexual Violations,3010,92
514,Other Criminal Violations - Offensive Weapons,24191,90
515,Refuse Sample,16539,136
516,Other,10730,60
517,Drive While Impaired / Over 80,1410,28
518,Robbery,12250,101
519,Other,785,41
520,Break and Enter,27752,46
521,Other,8097,35
522,Other Criminal Violations - Offensive Weapons,7561,134
523,Assaults,12534,82
524,Total Arrests,7344,115
525,Theft Over $5000,7207,47
526,Refuse Sample,21981,10
527,Robbery,5802,56
528,Theft Under $5000,19191,30
529,Other,16922,109
530,Other,5987,5
531,Sexual Violations,18226,119
532,Other,29593,33
533,Fraud,10648,118
534,Other,8717,65
535,Other,23356,11
536,Theft Under $5000,22010,85
537,Assaults,19335,26
538,Sexual Violations,24377,63
539,Total Arrests,12324,86
540,Drive While Impaired / Over 80,4781,59
541,Other,28692,27
542,Other Criminal Violations - Offensive Weapons,2369,98
543,Drive While Impaired / Over 80,12040,105
544,Other,6656,99
545,Other,8174,129
546,Total Arrests,4496,55
547,Sexual Violations,10894,6
548,Assaults,25548,95
549,Other,22387,133
550,Break and Enter,22999,102
551,Assaults,25743,3
552,Fraud,13404,23
553,Other,13122,53
554,Total Arrests,22304,83
555,Other,10967,85
556,Fraud,26559,78
557,Total Arrests,854,110
558,Other,20531,1
559,Theft Under $5000,28313,51
560,Other,20154,4
561,Robbery,16959,113
562,Assaults,27838,32
563,Total Arrests,17533,34
564,Other,22678,92
565,Break and Enter,22842,95
566,Total Arrests,31290,72
567,Theft Under $5000,23894,39
568,Other,31025,118
569,Total Arrests,9908,3
570,Other,4778,123
571,Assaults,29510,50
572,Robbery,20239,12
573,Other,29750,54
574,Theft Under $5000,15339,133
575,Other,2492,57
576,Other,27237,112
577,Total Arrests,15329,47
578,Total Arrests,14600,85
579,Fraud,19509,66
580,Other,22076,75
581,Robbery,3052,103
582,Other,15980,38
583,Theft Under $5000,16389,50
584,Theft Under $5000,21607,98
585,Other,21700,82
586,Other,21254,30
587,Other,877,79
588,Drive While Impaired / Over 80,25568,91
589,Assaults,23412,52
590,Total Arrests,4143,79
591,Other Criminal Violations - Offensive Weapons,15203,30
592,Other,6967,106
593,Fail to Remain,7080,51
594,Other,7988,81
595,Theft Under $5000,6800,133
596,Fraud,28941,29
597,Drive While Disqualified,4466,132
598,Assaults,17020,138
599,Other,13418,74
600,Sexual Violations,18078,17
601,Assaults,26259,84
602,Total Arrests,21137,69
603,Other,8312,34
604,Break and Enter,17215,6
605,Other,14099,53
606,Drive While Impaired / Over 80,28252,126
607,Other,5178,43
608,Other,14263,115
609,Assaults,25946,111
610,Other Criminal Violations - Offensive Weapons,25317,80
611,Total Arrests,8309,95
612,Break and Enter,5950,118
613,Other,19223,8
614,Drive While Impaired / Over 80,1151,132
615,Theft Under $5000,23945,104
616,Assaults,1932,132
617,Other,9205,25
618,Other,18049,96
619,Total Arrests,1082,93
620,Drive While Impaired / Over 80,29306,61
621,Theft Under $5000,16897,122
622,Other Criminal Violations - Offensive Weapons,27426,51
623,Other,13408,21
624,Assaults,7806,5
625,Break and Enter,5238,92
626,Other,16944,61
627,Other,20057,22
628,Other,12776,70
629,Assaults,23789,1
630,Total Arrests,16245,133
631,Other,13185,12
632,Other,3344,90
633,Other,13501,46
634,Assaults,20455,34
635,Total Arrests,29376,78
636,Theft Under $5000,9663,45
637,Total Arrests,16965,73
638,Total Arrests,15126,26
639,Other,23389,47
640,Theft Under $5000,26871,121
641,Fraud,8131,56
642,Other,19532,94
643,Total Arrests,20634,107
644,Other,1680,63
645,Theft Under $5000,3507,48
646,Total Arrests,13285,61
647,Theft Under $5000,7254,81
648,Assaults,19129,26
649,Other,27933,36
650,Other,28622,1
651,Other,9436,8
652,Theft Under $5000,21573,113
653,Total Arrests,11311,99
654,Theft Under $5000,13297,47
655,Total Arrests,18526,127
656,Total Arrests,30446,56
657,Theft Under $5000,13246,14
658,Robbery,27636,28
659,Other Criminal Violations - Offensive Weapons,29125,78
660,Fraud,29900,130
661,Theft Under $5000,11152,109
662,Other,10458,14
663,Other,23002,56
664,Total Arrests,2480,115
665,Firearm-Related,22869,7
666,Other,29223,3
667,Total Arrests,26212,111
668,Theft Under $5000,29985,107
669,Total Arrests,23806,18
670,Drive While Impaired / Over 80,26334,38
671,Other,4453,115
672,Theft Under $5000,26647,15
673,Assaults,5882,119
674,Theft Under $5000,23050,28
675,Other,14070,39
676,Other,31844,17
677,Total Arrests,2850,86
678,Total Arrests,27828,126
679,Other,7391,44
680,Other,23290,25
681,Theft Under $5000,11923,13
682,Total Arrests,2490,25
683,Theft Under $5000,9824,68
684,Total Arrests,27393,138
685,Other,9208,67
686,Other,9541,109
687,Total Arrests,16365,111
688,Assaults,4612,111
689,Robbery,27664,34
690,Other,19224,111
691,Total Arrests,24912,8
692,Other,5879,113
693,Total Arrests,30978,83
694,Other,29169,42
695,Other Criminal Violations - Offensive Weapons,16348,101
696,Assaults,25472,6
697,Other,22688,26
698,Robbery,28123,64
699,Other,852,59
700,Total Arrests,18072,109
701,Other,26508,121
702,Drive While Impaired / Over 80,6834,33
703,Assaults,11939,21
704,Other Criminal Violations - Offensive Weapons,2428,70
705,Total Arrests,26145,112
706,Robbery,4001,4
707,Other,5053,94
708,Other,2739,75
709,Other,28075,62
710,Total Arrests,22117,94
711,Other,5388,95
712,Assaults,8003,55
713,Other,5537,137
714,Other,13480,131
715,Break and Enter,3914,31
716,Other,17451,40
717,Other,24108,36
718,Other,20765,6
719,Total Arrests,10637,66
720,Assaults,20492,75
721,Other,5727,4
722,Robbery,3374,79
723,Drive While Impaired / Over 80,12162,134
724,Refuse Sample,31997,118
725,Other,27123,113
726,Assaults,25330,94
727,Other Criminal Violations - Offensive Weapons,2083,62
728,Other,27351,79
729,Total Arrests,27473,136
730,Total Arrests,28762,26
731,Other,25352,44
732,Other,23133,133
733,Total Arrests,16282,70
734,Assaults,15306,118
735,Drive While Impaired / Over 80,9818,68
736,Total Arrests,11262,19
737,Other,418,20
738,Total Arrests,24691,113
739,Total Arrests,8809,140
740,Other,20359,47
741,Total Arrests,3268,1
742,Other,17210,90
743,Other,24053,64
744,Other,5746,38
745,Robbery,26093,37
746,Assaults,11339,126
747,Other,413,139
748,Theft Under $5000,7544,100
749,Theft Under $5000,7588,77
750,Assaults,729,3
751,Drive While Impaired / Over 80,27925,134
752,Total Arrests,23549,10
753,Refuse Sample,27385,5
754,Other,25252,138
755,Dangerous Driving,11658,130
756,Break and Enter,5989,13
757,Assaults,18889,130
758,Other,2968,84
759,Drive While Impaired / Over 80,14528,65
760,Fraud,19171,63
761,Other,16049,101
762,Break and Enter,17507,73
763,Sexual Violations,20464,17
764,Total Arrests,17956,9
765,Theft Under $5000,5074,38
766,Robbery,5105,94
767,Other,2144,95
768,Other,26264,49
769,Total Arrests,23191,69
770,Break and Enter,7358,62
771,Other,28709,78
772,Assaults,12044,117
773,Other,3441,120
774,Fraud,20151,137
775,Other,5645,76
776,Total Arrests,10519,35
777,Theft Under $5000,14553,1
778,Other,2915,40
779,Total Arrests,21353,64
780,Other,22302,60
781,Other,13585,64
782,Other,12145,93
783,Theft Under $5000,14398,72
784,Total Arrests,8788,11
785,Assaults,14192,105
786,Fraud,729,14
787,Drive While Impaired / Over 80,17750,60
788,Other,20877,30
789,Other,699,35
790,Total Arrests,7187,5
791,Fraud,14513,83
792,Assaults,13924,123
793,Total Arrests,16780,78
794,Other,31165,62
795,Assaults,7401,132
796,Drive While Impaired / Over 80,24467,89
797,Theft Under $5000,4172,42
798,Other,4361,89
799,Theft Under $5000,2503,40
800,Total Arrests,26396,72
801,Total Arrests,17102,39
802,Other,19167,104
803,Robbery,21331,14
804,Total Arrests,28154,32
805,Other,5487,125
806,Assaults,8336,97
807,Other,21365,23
808,Total Arrests,27717,63
809,Assaults,23651,53
810,Other,4492,104
811,Dangerous Driving,23577,104
812,Fraud,31668,39
813,Other,11131,134
814,Drive While Impaired / Over 80,21973,67
815,Other,7652,135
816,Other,20021,42
817,Assaults,27799,15
818,Total Arrests,1168,111
819,Other,27193,33
820,Drive While Impaired / Over 80,1063,38
821,Total Arrests,18541,97
822,Other,24245,33
823,Other,21546,86
824,Sexual Violations,21690,66
825,Assaults,11175,10
826,Other,22926,5
827,Robbery,27871,123
828,Total Arrests,4730,74
829,Other,9349,97
830,Other,23715,118
831,Theft Under $5000,5335,38
832,Firearm-Related,8925,47
833,Robbery,4331,109
834,Other,24395,15
835,Assaults,6802,136
836,Theft Under $5000,4847,5
837,Other,6732,47
838,Other,15369,68
839,Other Criminal Violations - Offensive Weapons,23626,76
840,Refuse Sample,17338,130
841,Dangerous Driving,2540,95
842,Firearm-Related,7057,115
843,Total Arrests,11517,36
844,Other,11494,26
845,Dangerous Driving,1543,43
846,Break and Enter,21678,27
847,Refuse Sample,13965,69
848,Total Arrests,17576,11
849,Other,6314,74
850,Firearm-Related,30089,104
851,Fail to Remain,27570,38
852,Sexual Violations,23323,134
853,Robbery,19066,23
854,Total Arrests,25794,47
855,Total Arrests,17925,90
856,Firearm-Related,22557,46
857,Other,27813,107
858,Robbery,21926,140
859,Other Criminal Violations - Offensive Weapons,26963,104
860,Other,28296,111
861,Total Arrests,13808,104
862,Other,9581,60
863,Total Arrests,26433,100
864,Other,17750,68
865,Other,8692,133
866,Total Arrests,26257,120
867,Theft Under $5000,25087,37
868,Other,7495,72
869,Assaults,4313,127
870,Other,1325,106
871,Total Arrests,25732,92
872,Other,26404,31
873,Other,3142,122
874,Break and Enter,23804,137
875,Other,19871,51
876,Drive While Impaired / Over 80,1811,29
877,Total Arrests,6589,40
878,Other,19308,41
879,Theft Under $5000,5302,11
880,Total Arrests,26791,1
881,Theft Under $5000,20571,46
882,Theft Over $5000,25290,101
883,Total Arrests,22362,90
884,Other,28179,110
885,Assaults,28711,57
886,Theft Under $5000,15486,1
887,Total Arrests,11715,63
888,Total Arrests,20653,55
889,Assaults,4749,115
890,Other,21234,53
891,Theft Under $5000,9436,137
892,Assaults,3710,57
893,Total Arrests,25658,117
894,Other Criminal Violations - Offensive Weapons,30356,35
895,Other,23004,63
896,Other,25032,25
897,Theft Under $5000,13117,90
898,Theft Under $5000,25471,75
899,Other,9577,38
900,Total Arrests,10151,130
901,Fraud,19457,135
902,Total Arrests,6531,91
903,Assaults,10189,17
904,Other,14684,128
905,Drive While Impaired / Over 80,28862,108
906,Other,505,25
907,Other,1215,88
908,Other Criminal Violations - Offensive Weapons,1532,29
909,Assaults,28017,63
910,Break and Enter,23961,114
911,Robbery,824,49
912,Sexual Violations,17313,81
913,Theft Under $5000,5030,84
914,Other,13429,105
915,Other,16518,118
916,Fraud,2106,86
917,Other,3628,63
918,Total Arrests,12973,104
919,Firearm-Related,31392,49
920,Assaults,22701,71
921,Total Arrests,1853,1
922,Other,4911,123
923,Drive While Impaired / Over 80,29845,62
924,Dangerous Driving,20560,32
925,Theft Under $5000,27510,29
926,Break and Enter,27861,49
927,Sexual Violations,28875,30
928,Firearm-Related,11004,19
929,Other,21733,18
930,Fraud,30372,1
931,Other,25827,78
932,Other,30355,115
933,Other Criminal Violations - Offensive Weapons,13844,113
934,Break and Enter,11705,114
935,Assaults,15762,63
936,Other,6191,132
937,Other,17641,129
938,Other,19761,8
939,Total Arrests,5646,55
940,Other,29839,103
941,Other,19871,131
942,Total Arrests,19969,32
943,Refuse Sample,9589,10
944,Assaults,11830,110
945,Theft Under $5000,8054,124
946,Other,3331,87
947,Sexual Violations,19088,55
948,Other,8663,32
949,Drive While Impaired / Over 80,24505,135
950,Other,7115,93
951,Other,13324,8
952,Assaults,1354,65
953,Other,10976,57
954,Theft Under $5000,11024,67
955,Other,21448,72
956,Assaults,24934,54
957,Other,27596,67
958,Refuse Sample,23960,51
959,Other,668,97
960,Break and Enter,20853,92
961,Theft Under $5000,29704,8
962,Other,9338,35
963,Drive While Impaired / Over 80,13660,96
964,Fraud,23204,88
965,Other,28762,78
966,Total Arrests,3720,32
967,Other Criminal Violations - Offensive Weapons,19130,120
968,Other,7484,46
969,Other,31922,55
970,Total Arrests,540,7
971,Other,27356,74
972,Drive While Impaired / Over 80,4965,7
973,Other,28713,85
974,Break and Enter,4836,112
975,Assaults,20160,125
976,Drive While Impaired / Over 80,6043,36
977,Other,14838,29
978,Break and Enter,23487,82
979,Theft Under $5000,7313,2
980,Other,5321,129
981,Assaults,13217,47
982,Total Arrests,22517,11
983,Other,24276,130
984,Drive While Impaired / Over 80,27085,119
985,Total Arrests,2780,140
986,Firearm-Related,31472,20
987,Other,17309,5
988,Robbery,27533,37
989,Firearm-Related,1582,137
990,Total Arrests,24099,53
991,Other,19709,99
992,Other,12678,86
993,Assaults,5714,108
994,Total Arrests,23411,24
995,Other,16640,81
996,Total Arrests,4805,120
997,Assaults,18223,59
998,Other,10137,128
999,Other,31170,114
1000,Total Arrests,10,115
1001,Break and Enter,19256,14
1002,Fraud,25374,9
1003,Other,23794,40
1004,Theft Under $5000,23803,25
1005,Total Arrests,29549,103
1006,Other,5125,22
1007,Assaults,31863,4
1008,Firearm-Related,1016,29
1009,Theft Under $5000,26401,109
1010,Total Arrests,29046,98
1011,Other,27713,37
1012,Total Arrests,2194,75
1013,Other,8416,70
1014,Theft Under $5000,13551,128
1015,Assaults,14513,85
1016,Theft Under $5000,30475,42
1017,Other,29525,100
1018,Fraud,23834,41
1019,Total Arrests,4159,34
1020,Total Arrests,29913,17
1021,Theft Under $5000,20310,122
1022,Other,6971,76
1023,Other Criminal Violations - Offensive Weapons,6939,87
1024,Robbery,21169,117
1025,Other,13773,106
1026,Assaults,20385,86
1027,Other,18018,27
1028,Total Arrests,10345,57
1029,Other,7267,31
1030,Theft Under $5000,8703,134
1031,Other,385,98
1032,Theft Under $5000,405,12
1033,Other,8176,53
1034,Robbery,15159,138
1035,Total Arrests,29190,122
1036,Assaults,12764,46
1037,Other,18385,64
1038,Drive While Disqualified,27333,130
1039,Fraud,9861,54
1040,Firearm-Related,5990,107
1041,Break and Enter,15107,51
1042,Other,17845,36
1043,Sexual Violations,23575,115
1044,Other,23525,26
1045,Other Criminal Violations - Offensive Weapons,3637,29
1046,Other,10917,11
1047,Total Arrests,4810,40
1048,Dangerous Driving,20563,11
1049,Sexual Violations,13457,113
1050,Break and Enter,15445,39
